number,actual_name,position_type,death_year,deathdate,death_location,death_age,era_name,birthdate,birth_year
3241,Thomas Lawrence Keane,DB,2001,6/19/01,"Miami, FL",74,1941 to 1959,9/7/26,1926
3242,Frank Kimble,TE,2001,2/12/01,"Williamson, WV",83,pre-1940,11/9/17,1917
3243,Julius Michael Koshlap,RB/FB,2001,1/5/01,"Pittsfield Township, MI",83,pre-1940,12/25/17,1917
3244,Louis Joseph Kusserow,LB,2001,6/30/01,"Rancho Mirage, CA",73,1941 to 1959,9/6/27,1927
3245,Lowell Ken Lander,RB/FB,2001,2/28/01,"Pittsburgh, PA",68,1941 to 1959,9/12/32,1932
3246,David LeRoy Lince,TE,2001,12/29/01,"Laguna Beach, CA",57,1960 to 1975,5/17/44,1944
3247,Robert James Logel,TE,2001,7/4/01,"Holland, NY",72,1941 to 1959,7/29/28,1928
3248,Dee Elbert Mackey,TE,2001,2/26/01,"Gladewater, TX",66,1941 to 1959,10/16/34,1934
3249,James J. Magee,OL,2001,1/17/01,"North Cape May, NJ",80,1941 to 1959,11/27/20,1920
3250,Harvey Banks Martin,DL,2001,12/24/01,"Grapevine, TX",51,1960 to 1975,11/16/50,1950
3251,Robert Floyd McCain,TE,2001,9/30/01,"Pasadena, TX",79,1941 to 1959,8/15/22,1922
3252,Bernard Duane McGarry,OL,2001,3/25/01,"Provo, UT",83,pre-1940,12/24/17,1917
3253,Arthur Louis Mergenthal,OL,2001,5/20/01,"Bellevue , KY",80,1941 to 1959,3/21/21,1921
3254,Harold William Moe,WR,2001,5/26/01,"Corvallis, OR",91,pre-1940,3/28/10,1910
3255,Daniel Lawrence Nugent,OL,2001,10/18/01,"Boca Raton, FL",48,1960 to 1975,8/22/53,1953
3256,Dwayne Philip O'Steen,DB,2001,9/15/01,"Fairfield, CA",46,1960 to 1975,12/20/54,1954
3257,Sammy Joe Odom,DL,2001,1/18/01,"Mansfield, LA",59,1960 to 1975,11/13/41,1941
3258,Chester Casmir Ostrowski,DL,2001,10/10/01,"Orland Park, IL",71,1941 to 1959,4/8/30,1930
3259,Donald Ray Paul,DB,2001,9/7/01,"Eugene, OR",75,1941 to 1959,7/23/26,1926
3260,Lowell Wesley Perry,TE,2001,1/7/01,"Southfield, MI",69,1941 to 1959,12/5/31,1931
3261,Vincent Joseph Ragunas,RB/FB,2001,3/19/01,"Richmond, VA",76,1941 to 1959,7/12/24,1924
3262,John Robinson,OL,2001,4/27/01,"Springer, NM",89,pre-1940,6/18/11,1911
3263,Hosea Weaver Rodgers,RB/FB,2001,4/9/01,,79,1941 to 1959,12/25/21,1921
3264,Roy J. Ruskusky,TE,2001,4/30/01,"Peoria, IL",80,1941 to 1959,4/6/21,1921
3265,Edward Joseph Salem,DB,2001,12/20/01,"Birmingham, AL",73,1941 to 1959,8/28/28,1928
3266,Charles E. Sample,RB/FB,2001,5/15/01,"Appleton, WI",81,1941 to 1959,1/5/20,1920
3267,Andre Antonio Samuels,TE,2001,9/12/01,"Tampa, FL",46,1960 to 1975,12/30/54,1954
3268,John Wesley Saunders III,DB,2001,2/11/01,,50,1960 to 1975,4/29/50,1950
3269,Doyle Dean Schick,DB,2001,2/27/01,"Shawnee Mission, KS",62,1960 to 1975,2/23/39,1939
3270,Theodore Alfred Schmitt,OL,2001,3/11/01,"Port Orange, FL",84,pre-1940,10/2/16,1916
3271,Charles John Schuehle,RB/FB,2001,1/8/01,"O'Hanis, TX",83,pre-1940,9/28/17,1917
3272,Perry Schwartz,TE,2001,1/4/01,"Cloverdale, CA",85,pre-1940,4/27/15,1915
3273,Paul Herman Seiler,OL,2001,9/25/01,  ,55,1960 to 1975,11/1/45,1945
3274,Bernard Claude Semes,RB/FB,2001,1/30/01,"Beaver, PA",82,pre-1940,1/29/19,1919
3275,Jack Emanuel Shapiro,RB/FB,2001,2/5/01,"Carrollton, GA",93,pre-1940,3/22/07,1907
3276,Bronko Michael Smilanich,RB/FB,2001,4/11/01,"Pasadena, CA",85,pre-1940,10/17/15,1915
3277,Billy Ray Smith Sr.,DL,2001,3/21/01,"Little Rock, AR",66,1941 to 1959,1/27/35,1935
3278,Russell Conway Smith,RB/FB,2001,4/1/01,"Long Beach, CA",56,1960 to 1975,8/4/44,1944
3279,Robert A. Snyder,RB/FB,2001,1/4/01,"Sylvania, OH",87,pre-1940,2/6/13,1913
3280,Albert Henry Soar,RB/FB,2001,12/24/01,"Pawtucket, RI",87,pre-1940,8/17/14,1914
3281,Raymond Carl Spillers,OL,2001,1/26/01,"Little Rock, AR",88,pre-1940,10/23/12,1912
3282,Korey Damont Stringer,OL,2001,8/1/01,"Mankato, MN",27,1990 to 2002,5/8/74,1974
3283,Stephen Sucic,RB/FB,2001,6/29/01,"University Park, IL",80,1941 to 1959,4/21/21,1921
3284,Damon Gus Tassos,OL,2001,2/28/01,"San Antonio, TX",77,1941 to 1959,12/5/23,1923
3285,Alvin Monroe Thacker,OL,2001,6/16/01,"Okeechobee, FL",82,pre-1940,3/1/19,1919
3286,Russell John Thompson,OL,2001,2/12/01,"Lusk, WY",88,pre-1940,5/10/12,1912
3287,Daniel Lee Towler,RB/FB,2001,8/1/01,"Pasadena, CA",73,1941 to 1959,3/6/28,1928
3288,Louis Samuel Tsoutsouvas,OL,2001,7/17/01,"Santa Paula, CA",86,pre-1940,7/4/15,1915
3289,Billy Dale Vessels,RB/FB,2001,11/17/01,"Coral Gables, FL",70,1941 to 1959,3/22/31,1931
3290,Dale Bernard Waters,OL,2001,12/19/01,"Prescott, AZ",92,pre-1940,5/27/09,1909
3291,William Prescott Wells,RB/FB,2001,12/25/01,"Altadena, CA",70,1941 to 1959,12/7/31,1931
3292,Ralph Milton Wenzel,TE,2001,11/6/01,"Lexington, KY",83,pre-1940,7/22/18,1918
3293,Benjamin Franklyn Whaley,OL,2001,11/4/01,"Richmond, VA",75,1941 to 1959,10/14/26,1926
3294,James William Whatley,OL,2001,5/31/01,"Athens, GA",88,pre-1940,3/11/13,1913
3295,Ernest Lamour Wheelwright,RB/FB,2001,5/1/01,"Las Vegas, NV",61,1960 to 1975,11/28/39,1939
3296,Paul Nathaniel White,RB/FB,2001,6/23/01,"San Antonio, TX",52,1960 to 1975,9/17/48,1948
3297,Lloyd Meldrum Wickett,OL,2001,4/9/01,"Jefferson, OR",81,1941 to 1959,4/3/20,1920
3298,Don Donaho Williams,OL,2001,8/11/01,"Waco, TX",82,pre-1940,5/23/19,1919
3299,Warren Camp Wilson,RB/FB,2001,3/22/01,"Sierra Vista, AZ",78,1941 to 1959,3/29/22,1922
3300,Jack William Wilson,RB/FB,2001,4/11/01,"Waco, TX",83,pre-1940,11/20/17,1917
3301,James Carl Winkler,DL,2001,2/14/01,"Ventura, CA",73,1941 to 1959,7/21/27,1927
3302,Joseph C. Winkler,OL,2001,3/21/01,"Lansing, IL",79,1941 to 1959,3/9/22,1922
3303,John Joseph Yonakor,TE,2001,4/18/01,"Euclid, OH",79,1941 to 1959,8/4/21,1921
3304,Paul Lawrence Younger,RB/FB,2001,9/15/01,"Inglewood, CA",73,1941 to 1959,6/25/28,1928
3305,Joseph John Zapustas,TE,2001,1/14/01,"Brockton, MA",93,pre-1940,5/25/07,1907
3306,Carroll Robert Zaruba,DB,2001,5/10/01,"Sterling, CO",67,1941 to 1959,12/30/33,1933
3307,Walter John Zirinsky,RB/FB,2001,11/30/01,"Catasauqua, PA",81,1941 to 1959,8/1/20,1920
3308,Frank Cullen Albert,QB,2002,9/4/02,"Palo Alto, CA",82,1941 to 1959,1/27/20,1920
3309,Donald J. Allard,QB,2002,5/4/02,"Winchester, MA",66,1941 to 1959,4/21/36,1936
3310,Elmer Joseph Angsman Jr,RB/FB,2002,4/11/02,"West Palm Beach, FL",76,1941 to 1959,12/11/25,1925
3311,Earl Toussaint Audet,OL,2002,12/18/02,"Los Angeles, CA",81,1941 to 1959,5/14/21,1921
3312,John Patrick Aveni,ST,2002,1/20/02,"Philadelphia, PA",66,1941 to 1959,3/17/35,1935
3313,Albert John Babartsky,OL,2002,12/29/02,"Kettering, OH",87,pre-1940,4/19/15,1915
3314,David Lee Baker,DB,2002,9/4/02,"Norman, OK",65,1941 to 1959,7/30/37,1937
3315,Robert M. Baldwin Jr.,RB/FB,2002,7/7/02,"Berlin, MD",59,1960 to 1975,7/7/43,1943
3316,George Thomas Barrington,RB/FB,2002,11/8/02,"Columbus, OH",58,1960 to 1975,1/29/44,1944
3317,John Robert Borton,QB,2002,4/8/02,"Massillon, OH",69,1941 to 1959,12/14/32,1932
3318,Charles Marvin Bradshaw,OL,2002,1/23/02,"Plano, TX",65,1941 to 1959,3/13/36,1936
3319,Lester Lamar Brinkley,DL,2002,7/11/02,"Houston, TX",37,1976 to 1989,5/13/65,1965
3320,Leonard Leo Brooks Jr.,DL,2002,4/4/02,"Houston, TX",54,1960 to 1975,12/7/47,1947
3321,James Vernon Camp,QB,2002,1/31/02,"Durham, NC",77,1941 to 1959,8/8/24,1924
3322,Leon L. Campbell,RB/FB,2002,9/2/02,"Little Rock, AR",75,1941 to 1959,7/1/27,1927
3323,John Hanley Cannady,LB,2002,9/28/02,"Charleston, SC",79,1941 to 1959,5/9/23,1923
3324,Raymond Harry Carnelly,RB/FB,2002,11/14/02,"Orange, TX",86,pre-1940,8/11/16,1916
3325,Roscoe Challis Carter,OL,2002,6/16/02,"Eugene, OR",88,pre-1940,3/10/14,1914
3326,Thomas Ray Casey,RB/FB,2002,10/10/02,,78,1941 to 1959,7/30/24,1924
3327,William Allen Chipley,TE,2002,12/27/02,"Lookout Mountain, TN",82,1941 to 1959,7/2/20,1920
3328,Richard George Farman,OL,2002,5/5/02,"Seattle, WA",85,pre-1940,7/26/16,1916
3329,Thomas George Farris,QB,2002,11/16/02,"Citrus Heights, CA",82,1941 to 1959,9/16/20,1920
3330,Harrison Samuel Francis,RB/FB,2002,4/23/02,"Springfield, MO",88,pre-1940,10/26/13,1913
3331,Ralph C. Fritz,OL,2002,2/4/02,"Miami, FL",84,pre-1940,11/23/17,1917
3332,Wilford Benjamin Garnaas,QB,2002,5/9/02,"South St. Paul, MN",80,1941 to 1959,10/8/21,1921
3333,Thurman Edward Garrett,OL,2002,6/11/02,"Sand Springs, OK",79,1941 to 1959,2/17/23,1923
3334,Daniel Robert Garza,TE,2002,3/6/02,"Tucson, AZ",78,1941 to 1959,2/21/24,1924
3335,Clarence Fred Gehrke,RB/FB,2002,2/9/02,"Palm Springs, CA",83,pre-1940,4/24/18,1918
3336,Joseph Steven Geri,RB/FB,2002,4/20/02,"Milledgeville, GA",77,1941 to 1959,10/20/24,1924
3337,Billy Joe Gibson,OL,2002,10/19/02,"Sacramento, CA",83,pre-1940,6/28/19,1919
3338,Arthur Randy Gill,LB,2002,2/10/02,"Winnipeg, Canada",45,1976 to 1989,8/1/56,1956
3339,Herbert L. Godfrey,TE,2002,9/16/02,"Juneau, AK",83,pre-1940,8/23/19,1919
3340,Clyde Davis Goodnight,TE,2002,12/28/02,"Little River, TX",78,1941 to 1959,3/3/24,1924
3341,John Martin Goodyear,RB/FB,2002,3/7/02,"Riverside, CA",82,1941 to 1959,1/10/20,1920
3342,Leon Joseph Hart,TE,2002,9/24/02,"South Bend, IN",73,1941 to 1959,11/2/28,1928
3343,George Joseph Hasenohrl Jr.,DL,2002,10/31/02,"Maple Heights, OH",51,1960 to 1975,3/10/51,1951
3344,Robert Lee Hayes,WR,2002,9/18/02,"Jacksonville, FL",59,1960 to 1975,12/20/42,1942
3345,Louis Jules Haynes,LB,2002,12/2/02,"Algiers, LA",42,1976 to 1989,1/17/60,1960
3346,Joseph Leroy Heath,DB,2002,12/30/02,"Charleroi, PA",45,1976 to 1989,3/9/57,1957
3347,James Conway Hester,TE,2002,11/14/02,"Davenport , IA",57,1960 to 1975,12/13/44,1944
3348,Willie Joseph Holman,DL,2002,4/21/02,"Chicago, IL",57,1960 to 1975,2/27/45,1945
3349,Ambrose Roy Hord Jr.,OL,2002,10/24/02,"Riverside, CA",67,1941 to 1959,12/25/34,1934
3350,Gerald Haines Houghton,OL,2002,6/1/02,"Bellevue, WA",76,1941 to 1959,4/18/26,1926
3351,Daniel Douglas Jilek,LB,2002,3/6/02,"Ann Arbor, MI",48,1960 to 1975,12/3/53,1953
3352,William Erick Johnson,DL,2002,3/8/02,"Bentonville, AR",85,pre-1940,10/4/16,1916
3353,Chester Arthur Johnston,RB/FB,2002,9/19/02,"St. Louis, MO",92,pre-1940,3/7/10,1910
3354,Ellis Nathaniel Jones,OL,2002,2/24/02,"Greeley, CO",80,1941 to 1959,3/16/21,1921
3355,Walter Stephen Jurkiewicz,OL,2002,12/3/02,"Plymouth, IN",83,pre-1940,2/16/19,1919
3356,George Jacob Karstens Jr.,OL,2002,12/5/02,"Bradenton, FL",78,1941 to 1959,2/9/24,1924
3357,Edward Allen Kelley,OL,2002,6/27/02,"Harlingen, TX",78,1941 to 1959,2/18/24,1924
3358,Raymond Howard Kemp,OL,2002,3/26/02,"Ashtabula, OH",94,pre-1940,4/7/07,1907
3359,Nicholas Peter Kerasiotis,OL,2002,5/23/02,"Aurora, IL",83,pre-1940,7/4/18,1918
3360,George Alfred Kershaw,TE,2002,4/20/02,"Titusville, FL",75,1941 to 1959,3/13/27,1927
3361,George Herman Kiick,RB/FB,2002,3/21/02,"Pompton Plains, NJ",84,pre-1940,9/5/17,1917
3362,Richard Lane,DB,2002,1/29/02,"Austin, TX",74,1941 to 1959,4/16/27,1927
3363,John Howard Letsinger,OL,2002,1/31/02,"Bloomington, IN",90,pre-1940,11/17/11,1911
3364,Clifford Allen Lewis,DB,2002,7/25/02,"Tampa, FL",79,1941 to 1959,3/22/23,1923
3365,Harry Norman Michael Lind,RB/FB,2002,10/25/02,"Chicago Heights, IL",62,1960 to 1975,2/2/40,1940
3366,Raymond Jack Lininger,LB,2002,8/30/02,"Kennesaw, GA",75,1941 to 1959,6/27/27,1927
3367,John Lucente,RB/FB,2002,12/25/02,"Dearborn, MI",80,1941 to 1959,11/4/22,1922
3368,Donald Richard Luft,TE,2002,6/19/02,"Indianapolis, IN",72,1941 to 1959,2/14/30,1930
3369,James Willie Lukens Jr.,TE,2002,10/21/02,"Wernerville, VA",78,1941 to 1959,9/6/24,1924
3370,Edgar John Manske,TE,2002,1/27/02,"Los Angeles, CA",89,pre-1940,7/4/12,1912
3371,James Richard Martin,OL,2002,10/9/02,"Corona, CA",78,1941 to 1959,4/8/24,1924
3372,Ned Alfred Mathews,WR,2002,9/18/02,"Los Angeles, CA",84,pre-1940,8/11/18,1918
3373,Robert Eugene McChesney,TE,2002,12/19/02,"Granada Hills, CA",76,1941 to 1959,10/27/26,1926
3374,William Albert McClung,OL,2002,7/28/02,"Pittsburgh, PA",72,1941 to 1959,5/9/30,1930
3375,Edward Wahoo McDaniel,LB,2002,4/18/02,"Houston, TX",63,1941 to 1959,6/19/38,1938
3376,Donald Gene McDonald,TE,2002,2/12/02,"Quapaw, OK",80,1941 to 1959,2/12/21,1921
3377,Bernard James Mertes,RB/FB,2002,1/17/02,"St. Louis Park, MN",80,1941 to 1959,10/6/21,1921
3378,Charles Lewis Miller,OL,2002,8/7/02,"Hudson, FL",92,pre-1940,11/11/09,1909
3379,Raimondo William Monaco,OL,2002,12/7/02,"North Providence, RI",84,pre-1940,2/10/18,1918
3380,Gonzalo Morales,RB/FB,2002,4/2/02,"San Francisco, CA",79,1941 to 1959,6/10/22,1922
3381,Dewey Frank Nelson,RB/FB,2002,2/19/02,"Phoenix, AZ",78,1941 to 1959,5/28/23,1923
3382,Ronald Duane Nery,DL,2002,4/4/02,"Topeka, KS",67,1941 to 1959,12/30/34,1934
3383,John William O'Quinn Jr.,DB,2002,4/21/02,"Ottawa, Canada",76,1941 to 1959,9/7/25,1925
3384,Kenneth Charles Panfil,OL,2002,4/28/02,"Palos Heights, IL",71,1941 to 1959,9/16/30,1930
3385,John Clifton Patton,OL,2002,11/9/02,"Comanche, TX",79,1941 to 1959,7/29/23,1923
3386,Stonko S. Pavkov,OL,2002,2/8/02,"Modesto, CA",85,pre-1940,10/23/16,1916
3387,Alfred Lee Pollard,RB/FB,2002,3/3/02,"Devon , PA",73,1941 to 1959,9/7/28,1928
3388,Harold Dougald Prescott,TE,2002,5/1/02,"Cisco, TX",81,1941 to 1959,10/18/20,1920
3389,Paddison Wade Preston,OL,2002,6/23/02,"Mount Airy, NC",81,1941 to 1959,6/15/21,1921
3390,William Alex Radovich,OL,2002,3/6/02,"Newport Beach, CA",86,pre-1940,6/24/15,1915
3391,William Dean Reynolds,RB/FB,2002,12/2/02,"Bedford, OH",71,1941 to 1959,7/20/31,1931
3392,Charles Francis Riffle,OL,2002,2/28/02,"Sun City West, AZ",84,pre-1940,1/6/18,1918
3393,Francis Stephen Rogel,RB/FB,2002,6/2/02,"Gibsonia, PA",74,1941 to 1959,12/12/27,1927
3394,Herman Francis Rohrig,WR,2002,7/14/02,"Lincoln, NE",84,pre-1940,3/19/18,1918
3395,George Roman Jr.,OL,2002,6/30/02,"Columbus, GA",76,1941 to 1959,2/20/26,1926
3396,William Kyle Rote,TE,2002,8/15/02,"Baltimore, MD",74,1941 to 1959,10/27/27,1927
3397,Herbert Carl Roton,TE,2002,8/3/02,"Montgomery, AL",88,pre-1940,8/28/13,1913
3398,Harmon Beasley Rowe,DB,2002,1/26/02,"Whitehouse, TX",78,1941 to 1959,8/22/23,1923
3399,Martin Owen Ruby,OL,2002,1/3/02,"Salmon Arm, Canada",79,1941 to 1959,6/9/22,1922
3400,Edward Denis Ryan,TE,2002,10/21/02,"San Carlos, CA",76,1941 to 1959,12/29/25,1925
3401,James Woodrow Salsbury,OL,2002,3/29/02,"Paradise Valley, AZ",69,1941 to 1959,8/8/32,1932
3402,Eberle Hynson Schultz,OL,2002,5/20/02,"Arcata, CA",84,pre-1940,12/23/17,1917
3403,James Herbert Sears,DB,2002,1/4/02,"Woodland Hills, CA",70,1941 to 1959,3/20/31,1931
3404,Wayne General Simmons,LB,2002,8/23/02,"Independence, MO",32,1990 to 2002,12/15/69,1969
3405,James Robert Smith,DB,2002,3/1/02,"Flower Mound, TX",76,1941 to 1959,8/20/25,1925
3406,Weldon Odell Stautzenberger,OL,2002,5/5/02,"Alexandria, LA",77,1941 to 1959,10/23/24,1924
3407,John Raymond Strzykalski,RB/FB,2002,6/19/02,"Hendersonville, NC",80,1941 to 1959,12/14/21,1921
3408,Thomas Ashley Sullivan,RB/FB,2002,10/10/02,"Summerville, SC",52,1960 to 1975,3/5/50,1950
3409,John Richard Symank,DB,2002,1/23/02,"Dauphin Island, AL",66,1941 to 1959,8/31/35,1935
3410,Doyle Lee Tackett,RB/FB,2002,9/7/02,"Atkins, AR",79,1941 to 1959,8/22/23,1923
3411,Broderick Lorenzo Thompson,OL,2002,2/4/02,"Boulder City, NV",41,1976 to 1989,8/14/60,1960
3412,Kenneth Ray Thomas,RB/FB,2002,11/13/02,"Independence, MO",42,1976 to 1989,2/11/60,1960
3413,Lawrence Jackson Thornton,LB,2002,3/2/02,"Lexington, GA",57,1960 to 1975,4/23/44,1944
3414,Willie Lee Thrower,QB,2002,2/20/02,"New Kensington, PA",71,1941 to 1959,3/22/30,1930
3415,Gaynell Charles Tinsley,TE,2002,7/24/02,"Baton Rouge, LA",87,pre-1940,2/1/15,1915
3416,John Joseph Tosi,OL,2002,11/24/02,"Wilmington, DE",88,pre-1940,12/3/13,1913
3417,Melvin C. Triplett,RB/FB,2002,7/25/02,"Toledo, OH",70,1941 to 1959,12/24/31,1931
3418,John Constantine Unitas,QB,2002,9/11/02,"Towson, MD",69,1941 to 1959,5/7/33,1933
3419,Dominic Martin Vairo,TE,2002,7/31/02,"Calumet, MI",89,pre-1940,11/2/12,1912
3420,William Bradley Walker,OL,2002,5/28/02,"Pompano Beach, FL",81,1941 to 1959,9/16/20,1920
3421,Samuel Thaw Walton,OL,2002,5/9/02,"Memphis, TN",59,1960 to 1975,1/3/43,1943
3422,Frank William Warren III,DL,2002,12/14/02,"Birmingham, AL",43,1976 to 1989,9/14/59,1959
3423,Morrison Fulbright Warren,RB/FB,2002,4/9/02,"Tempe, AZ",78,1941 to 1959,12/6/23,1923
3424,Foster Forrest Watkins,QB,2002,12/29/02,"Wichita Falls, TX",85,pre-1940,11/17/17,1917
3425,Michael Lewis Webster,OL,2002,9/24/02,"Pittsburgh, PA",50,1960 to 1975,3/18/52,1952
3426,Richard Wesley Wedel,OL,2002,6/8/02,"Charlotte, NC",79,1941 to 1959,5/29/23,1923
3427,Richard Irving Werder,OL,2002,2/14/02,"Buffalo, NY",79,1941 to 1959,7/31/22,1922
3428,Byron Raymond White,RB/FB,2002,4/15/02,"Denver, CO",84,pre-1940,6/8/17,1917
3429,Raymond Walter Wietecha,OL,2002,12/14/02,"Phoenix, AZ",74,1941 to 1959,11/4/28,1928
3430,Ernest Warriner Williamson,OL,2002,3/6/02,"Chapel Hill, NC",79,1941 to 1959,9/9/22,1922
3431,Ollie Eugene Wilson,TE,2002,7/4/02,"Houston, TX",76,1941 to 1959,6/24/26,1926
3432,John Samuel Wilson,TE,2002,8/24/02,"Rawlings, MD",86,pre-1940,11/2/15,1915
3433,John David Yohn,LB,2002,12/9/02,,65,1941 to 1959,10/10/37,1937
3434,Anthony Joseph Zuzzio,OL,2002,4/7/02,"Lawrence , KS",85,pre-1940,8/5/16,1916
3435,Duane Douglas Allen,TE,2003,5/7/03,"Pasadena, CA",65,1941 to 1959,10/21/37,1937
3436,Herbert Charles Banet,RB/FB,2003,3/12/03,"Fort Wayne, IN",89,pre-1940,10/17/13,1913
3437,Albert Anthony Bansavage,LB,2003,8/19/03,"Jupiter, FL",65,1941 to 1959,1/9/38,1938
3438,Kevin Belcher,OL,2003,6/28/03,"El Paso, TX",42,1976 to 1989,2/23/61,1961
3439,John Robert Biolo,OL,2003,2/4/03,"Fond du Lac, WI",86,pre-1940,2/8/16,1916
3440,Verdi Emerson Boyer Jr.,OL,2003,5/27/03,"Pasadena, CA",91,pre-1940,9/2/11,1911
3441,Samuel Joseph Brazinsky,OL,2003,5/12/03,"Manville, NJ",82,1941 to 1959,1/9/21,1921
3442,Harry Webster Buffington,OL,2003,11/19/03,"Lubbock, TX",84,pre-1940,8/27/19,1919
3443,Adrian Mathew Burk,QB,2003,7/28/03,"Henderson, TX",75,1941 to 1959,12/14/27,1927
3444,Ronald Eugene Burton,RB/FB,2003,9/13/03,"Boston, MA",67,1941 to 1959,7/25/36,1936
3445,Anthony Robert Canadeo,RB/FB,2003,11/29/03,"Green Bay , WI",84,pre-1940,5/5/19,1919
3446,Edward J. Champagne,OL,2003,6/15/03,"Raleigh, NC",80,1941 to 1959,12/4/22,1922
3447,Thomas Floyd Dean,LB,2003,7/15/03,"Fair Oaks, CA",62,1960 to 1975,8/19/40,1940
3448,John Lawrence Federovitch,OL,2003,1/20/03,"Youngstown, OH",85,pre-1940,6/26/17,1917
3449,Thomas R. Finnin,DL,2003,6/22/03,"Chicago, IL",75,1941 to 1959,9/28/27,1927
3450,Robert Clayton Freeman,DB,2003,12/30/03,"Auburn, AL",71,1941 to 1959,10/19/32,1932
3451,Lucien Anthony Gambino,RB/FB,2003,7/16/03,"Chicago, IL",79,1941 to 1959,9/21/23,1923
3452,Angelo Robert Gaudio,OL,2003,5/10/03,"Miami, FL",77,1941 to 1959,7/13/25,1925
3453,Mario M. Giannelli,DL,2003,6/29/03,"Chelsea, MA",82,1941 to 1959,12/24/20,1920
3454,Michael N. Graham,RB/FB,2003,7/7/03,"Warren, OH",80,1941 to 1959,4/3/23,1923
3455,Otto Everett Graham Jr.,QB,2003,12/17/03,"Sarasota, FL",82,1941 to 1959,12/6/21,1921
3456,Earl Jackson Gregory,OL,2003,11/5/03,"Okolona, MS",87,pre-1940,2/14/16,1916
3457,Frank John Grigonis,RB/FB,2003,9/2/03,"Atlanta, GA",86,pre-1940,10/10/16,1916
3458,Peter Gudauskas,OL,2003,10/27/03,  ,87,pre-1940,10/19/16,1916
3459,William Alfred Heater,OL,2003,10/24/03,"Syracuse, NY",85,pre-1940,9/22/18,1918
3460,John Benjamin Hightower,TE,2003,1/1/03,"Austin, TX",84,pre-1940,12/5/18,1918
3461,James Harold Hill,TE,2003,3/26/03,"Bessemer, AL",88,pre-1940,12/8/14,1914
3462,James Clifford Hill,DB,2003,5/5/03,"Maryville, TN",73,1941 to 1959,7/21/29,1929
3463,Joel Reuben Hitt Jr.,TE,2003,6/2/03,"Mobile, AL",86,pre-1940,12/30/16,1916
3464,Lee Frank Ivy,TE,2003,5/17/03,"Norman, OK",87,pre-1940,1/25/16,1916
3465,Harry Anthony Jacunski,TE,2003,2/20/03,"Branford, CT",87,pre-1940,10/20/15,1915
3466,Eddie J. Johnson,LB,2003,1/21/03,"Cleveland, OH",43,1976 to 1989,2/3/59,1959
3467,Joseph F. Johnson,RB/FB,2003,11/1/03,"Las Vegas, NV",73,1941 to 1959,11/3/29,1929
3468,Charles Ronald Justice,RB/FB,2003,10/17/03,"Cherryville, NC",79,1941 to 1959,5/18/24,1924
3469,William Michael Kellagher,RB/FB,2003,5/11/03,"DeBarry, FL",82,1941 to 1959,8/13/20,1920
3470,Patrick Joseph Kelly,TE,2003,3/27/03,"Charlottesville, VA",37,1976 to 1989,10/29/65,1965
3471,Nicholas Klutka,TE,2003,4/2/03,"Van Wert, OH",82,1941 to 1959,1/21/21,1921
3472,Milton Leonard Kobrosky,QB,2003,5/29/03,"Longmeadow, MA",88,pre-1940,2/22/15,1915
3473,John Edward Koniszewski,OL,2003,12/30/03,"Peckville, PA",82,1941 to 1959,8/29/21,1921
3474,Michael G. Kullman,DB,2003,7/21/03,"Allentown, PA",41,1976 to 1989,1/22/62,1962
3475,Irving Kupcinet,QB,2003,11/10/03,"Evanston, IL",91,pre-1940,7/31/12,1912
3476,Harold Wade Lahar,OL,2003,10/20/03,"Dallas, TX",84,pre-1940,7/14/19,1919
3477,Gary Owen Lane,QB,2003,6/27/03,"St. Louis, MO",60,1960 to 1975,12/21/42,1942
3478,Leslie Willard Lane,OL,2003,12/12/03,"Tulsa, OK",87,pre-1940,4/18/16,1916
3479,Paul August Lindquist,DL,2003,11/6/03,,64,1960 to 1975,4/30/39,1939
3480,Victor Junior Lindskog,OL,2003,2/28/03,"Fort Worth, TX",88,pre-1940,12/3/14,1914
3481,Obert Clark Logan,DB,2003,1/21/03,"Luling, TX",61,1960 to 1975,12/6/41,1941
3482,Ace Darl Loomis,DB,2003,9/11/03,"Santa Fe , NM",75,1941 to 1959,6/12/28,1928
3483,Robert Frederick MacLeod,RB/FB,2003,1/13/03,"Santa Monica, CA",85,pre-1940,10/15/17,1917
3484,Robert Charles Maddock,OL,2003,10/4/03,"Newport Beach, CA",83,1941 to 1959,8/6/20,1920
3485,Michael Stephen Magac,OL,2003,8/25/03,"Belleville, IL",65,1941 to 1959,5/25/38,1938
3486,Louis J. Marotti,OL,2003,10/3/03,"Los Gatos, CA",88,pre-1940,3/28/15,1915
3487,Robert Joseph McDougal,RB/FB,2003,8/10/03,"Oconto, WI",82,1941 to 1959,3/19/21,1921
3488,William C. Miller,DL,2003,11/24/03,"Fayetteville, NC",67,1941 to 1959,11/17/36,1936
3489,Rudolph Hamilton Mobley,RB/FB,2003,9/8/03,,81,1941 to 1959,12/8/21,1921
3490,William N. Montgomery,RB/FB,2003,8/21/03,  ,80,1941 to 1959,6/3/23,1923
3491,Kenneth Charles Moore,OL,2003,12/1/03,,86,pre-1940,5/22/17,1917
3492,Robert Edward Morrow,RB/FB,2003,7/9/03,"Stuart, FL",85,pre-1940,5/5/18,1918
3493,James Morris North,OL,2003,2/4/03,"Bellevue, WA",83,pre-1940,8/11/19,1919
